ID,Kode,Nama,Sdm,Alamat,Kelurahan,Kecamatan,Kabupaten,Propinsi,Lintang,Bujur,Koleksi,Sumber,Pengelola,Tipe,Standar,Tahun,Bangunan,Luas,Pemilik
A397F544-0DD9-4993-8836-1B27B1D02422,MS000251,Museum Affandi,0,Jl. Laksda Adisucipto No. 167,-,Sleman,Kab. Sleman,Prop. D.I. Yogyakarta,-7.7829360,110.3962330,300,-,SWASTA,Khusus,B,1988,-,0,-
FFF2B52F-0C88-4DA8-A2EB-20BF1A70F4C1,MS000278,Museum Candi Prambanan,0,Jl. Jogja-Solo Km. 16,-,Prambanan,Kab. Sleman,Prop. D.I. Yogyakarta,-7.7494710,110.4934180,0,-,Taman Wisata Candi Prambanan,Khusus,B,0,Baru,0,-
6846CF8A-3E38-4349-A28C-FE5A80067F4C,MS000277,Museum Erupsi Gunung Merapi,0,-,-,Pakem,Kab. Sleman,Prop. D.I. Yogyakarta,-7.6156440,110.4243690,0,-,-,-,-,0,-,0,-
EF8CE6B5-5009-4C26-8B62-A4E85191B748,MS000486,Museum Gempa Prof. Dr. Sarwidi,,Jl. Malangyudo No. 25,-,Kec. Pakem,Kab. Sleman,Prov. D.I. Yogyakarta,.0000000,.0000000,,-,,,,,,,
49FFCFFE-C69B-49B5-8682-E2488E49AA51,MS000244,Museum Geoteknologi Mineral,0,"Kampus II UPN Veteran, Jl. Babarsari 2",-,Depok,Kab. Sleman,Prop. D.I. Yogyakarta,-7.7818050,110.4145810,1252,-,UPN Veteran ,Khusus,B,1988,-,0,-
FC14EE98-6798-4FB0-B00C-85453656333B,MS000269,Museum Gunungapi Merapi,0,"Jl. Boyong, Dsn Benteng, Ds Hargobinangun",-,Pakem,Kab. Sleman,Prop. D.I. Yogyakarta,-7.6164330,110.4241640,0,-,-,-,B,0,-,0,-
D57029B8-8CDF-4439-A60D-91919472ABB6,MS000248,Museum Pahlawan Pancasila ,0,Komplek Batalyon 403,-,Depok,Kab. Sleman,Prop. D.I. Yogyakarta,-7.7550310,110.3879110,0,-,ABRI,Khusus,-,0,-,0,-
C2985DDD-EE9F-469E-AA78-3A4C6B89B57F,MS000270,Museum Paleoantropologi,0,"Jl. Medika, Sekip",-,Depok,Kab. Sleman,Prop. D.I. Yogyakarta,-7.7705390,110.3757840,0,-,Fakultas Kedokteran UGM,-,B,0,-,0,-
FD5BD88E-23F2-442D-9EC6-DA8145F76DB8,MS000274,Museum Pendidikan Indonesia Universitas Negeri Yogyakarta,0,"Kampus Pusat UNY Jl. Colombo No. 1, Karang Malang",-,Depok,Kab. Sleman,Prop. D.I. Yogyakarta,-7.7749110,110.3862770,0,-,-,-,B,0,-,0,-
2BCB1F70-D3A9-4139-AA8E-2F4EB23E4198,MS000271,Museum PETA,0,Jl. Bulaksumur No. 1 UGM Yogyakarta,-,Depok,Kab. Sleman,Prop. D.I. Yogyakarta,-7.7730540,110.3773260,0,-,Fakultas Geografi,-,C,0,-,0,-
6D72D081-5FA2-47B8-9D6B-6C82CD2786FC,MS000276,Museum Sisa Hartaku (Sleman),0,-,-,Cangkringan,Kab. Sleman,Prop. D.I. Yogyakarta,-7.6034220,110.4526770,0,-,-,-,-,0,-,0,-
7AABF9CB-181D-4A38-945B-55EEF099527F,MS000245,Museum TNI-AU Dirgantara Mandala,0,"Jl. Pangkalan Adi Sucipto, Komp. Lanud Adisucipto",-,Depok,Kab. Sleman,Prop. D.I. Yogyakarta,-7.7899340,110.4156790,10000,-,ABRI,Khusus,-,0,-,0,-
68FEA9DB-F788-44F3-8B3D-AADFC9CD6669,MS000487,Museum UII,,"Jl. Kaliurang Km 14,5 ",-,Kec. Ngemplak,Kab. Sleman,Prov. D.I. Yogyakarta,.0000000,.0000000,,-,,,,,,,
3087754E-7D32-4CBB-904B-9D3E98C3CC4D,MS000256,Museum Ullen Sentalu,0,Kawasan Wisata Kaliurang,-,Sleman,Kab. Sleman,Prop. D.I. Yogyakarta,-7.5983790,110.4237850,0,-,SWASTA ,-,A,1997,-,0,-
A8497B58-43D9-492C-A665-9184399444E6,MS000267,Museum Universitas Gadjah Mada,0,Kampus UGM Bulak Sumur Blok D-6 dan D-7,-,Depok,Kab. Sleman,Prop. D.I. Yogyakarta,-7.7742410,110.3778650,0,-,UGM,-,C,0,-,0,-
